,name,link,rate,location,h_id
85,Grand Atlantic Hôtel,https://www.tripadvisor.fr/Hotel_Review-g196505-d7778980-Reviews-Grand_Atlantic_Hotel-Arcachon_Gironde_Nouvelle_Aquitaine.html,"3,5","16 avenue de la Republique, 33120 Arcachon France",1965057778980
86,Privilège Hôtel Eurociel Centre Comédie,https://www.tripadvisor.fr/Hotel_Review-g187153-d2706661-Reviews-Privilege_Hotel_Eurociel_Centre_Comedie-Montpellier_Herault_Occitanie.html,"4,5","1 Avenue Du Pont Juvenal MONTPELLIER CENTRE VILLE, 34000, Montpellier France",1871532706661
87,Hotel Escale Oceania Biarritz,https://www.tripadvisor.fr/Hotel_Review-g187080-d248518-Reviews-Hotel_Escale_Oceania_Biarritz-Biarritz_Basque_Country_Pyrenees_Atlantiques_Nouvelle_Aqu.html,"4,0","19 ave de la Reine Victoria, 64200 Biarritz France",187080248518
88,Crowne Plaza Barcelona - Fira Center,https://www.tripadvisor.fr/Hotel_Review-g187497-d228466-Reviews-Crowne_Plaza_Barcelona_Fira_Center-Barcelona_Catalonia.html,"4,5","Avenida de Rius I Taulet, 1-3, 08004 Barcelone Espagne",187497228466
89,Hotel Da Vinci & Spa,https://www.tripadvisor.fr/Hotel_Review-g187147-d6675948-Reviews-Hotel_Da_Vinci_Spa-Paris_Ile_de_France.html,"5,0","25 rue des Saints Pères, 75006 Paris France",1871476675948
90,Hotel Da Vinci & Spa,https://www.tripadvisor.fr/Hotel_Review-g187147-d6675948-Reviews-Hotel_Da_Vinci_Spa-Paris_Ile_de_France.html,"5,0","25 rue des Saints Pères, 75006 Paris France",1871476675948
91,Hotel Da Vinci & Spa,https://www.tripadvisor.fr/Hotel_Review-g187147-d6675948-Reviews-Hotel_Da_Vinci_Spa-Paris_Ile_de_France.html,"5,0","25 rue des Saints Pères, 75006 Paris France",1871476675948
92,Severin Safari Camp,https://www.tripadvisor.fr/Hotel_Review-g303978-d1308548-Reviews-Severin_Safari_Camp-Tsavo_National_Park_West_Coast_Province.html,"5,0","Kitani Wildlife Area, Tsavo National Park West 00400 Kenya",3039781308548
93,Hotel Da Vinci & Spa,https://www.tripadvisor.fr/Hotel_Review-g187147-d6675948-Reviews-Hotel_Da_Vinci_Spa-Paris_Ile_de_France.html,"5,0","25 rue des Saints Pères, 75006 Paris France",1871476675948
94,Hotel Le Regina,https://www.tripadvisor.fr/Hotel_Review-g196601-d675276-Reviews-Hotel_Le_Regina-Canet_en_Roussillon_Pyrenees_Orientales_Occitanie.html,"4,5","132 boulevard Tixador, 66140 Canet en Roussillon France",196601675276
95,Hôtel CitizenM Paris Gare de Lyon,https://www.tripadvisor.fr/Hotel_Review-g187147-d12455412-Reviews-Hotel_CitizenM_Paris_Gare_de_Lyon-Paris_Ile_de_France.html,"4,5","8 rue Van Gogh, 75012 Paris France",18714712455412
96,Hôtel CitizenM Paris Gare de Lyon,https://www.tripadvisor.fr/Hotel_Review-g187147-d12455412-Reviews-Hotel_CitizenM_Paris_Gare_de_Lyon-Paris_Ile_de_France.html,"4,5","8 rue Van Gogh, 75012 Paris France",18714712455412
97,Hotel Parisianer,https://www.tripadvisor.fr/Hotel_Review-g187147-d17497848-Reviews-Hotel_Parisianer-Paris_Ile_de_France.html,"4,5","5 rue Hector Malot, 75012 Paris France",18714717497848
98,Hôtel Le 209,https://www.tripadvisor.fr/Hotel_Review-g187147-d207565-Reviews-Hotel_Le_209-Paris_Ile_de_France.html,"4,0","209 / 211 Rue De Charenton, 75012 Paris France",187147207565
99,Hotel Darcet,https://www.tripadvisor.fr/Hotel_Review-g187147-d274978-Reviews-Hotel_Darcet-Paris_Ile_de_France.html,"4,5","4 rue Darcet 17 Arr., 75017 Paris France",187147274978
100,Hotel Darcet,https://www.tripadvisor.fr/Hotel_Review-g187147-d274978-Reviews-Hotel_Darcet-Paris_Ile_de_France.html,"4,5","4 rue Darcet 17 Arr., 75017 Paris France",187147274978
101,Hotel Darcet,https://www.tripadvisor.fr/Hotel_Review-g187147-d274978-Reviews-Hotel_Darcet-Paris_Ile_de_France.html,"4,5","4 rue Darcet 17 Arr., 75017 Paris France",187147274978
102,Hotel Darcet,https://www.tripadvisor.fr/Hotel_Review-g187147-d274978-Reviews-Hotel_Darcet-Paris_Ile_de_France.html,"4,5","4 rue Darcet 17 Arr., 75017 Paris France",187147274978
103,Hotel Darcet,https://www.tripadvisor.fr/Hotel_Review-g187147-d274978-Reviews-Hotel_Darcet-Paris_Ile_de_France.html,"4,5","4 rue Darcet 17 Arr., 75017 Paris France",187147274978
104,Ibis Budget Paris Coeur d'Orly Airport,https://www.tripadvisor.fr/Hotel_Review-g1517286-d10146358-Reviews-Ibis_Budget_Paris_Coeur_d_Orly_Airport-Orly_Val_de_Marne_Ile_de_France.html,"4,0","1 avenue de l Union, 94310 Orly France",151728610146358
105,Hotel Darcet,https://www.tripadvisor.fr/Hotel_Review-g187147-d274978-Reviews-Hotel_Darcet-Paris_Ile_de_France.html,"4,5","4 rue Darcet 17 Arr., 75017 Paris France",187147274978
106,Hôtel Maxim Folies,https://www.tripadvisor.fr/Hotel_Review-g187147-d1732208-Reviews-Hotel_Maxim_Folies-Paris_Ile_de_France.html,"4,5","14 Rue Geoffroy Marie, 75009 Paris France",1871471732208
107,Hotel Aida Opera,https://www.tripadvisor.fr/Hotel_Review-g187147-d229554-Reviews-Hotel_Aida_Opera-Paris_Ile_de_France.html,"4,5","11 rue Richer 17 Rue Du Conservatoire, 75009 Paris France",187147229554
108,Hôtel Maxim Folies,https://www.tripadvisor.fr/Hotel_Review-g187147-d1732208-Reviews-Hotel_Maxim_Folies-Paris_Ile_de_France.html,"4,5","14 Rue Geoffroy Marie, 75009 Paris France",1871471732208
109,La Pirogue Mauritius,https://www.tripadvisor.fr/Hotel_Review-g298343-d316735-Reviews-La_Pirogue_Mauritius-Flic_En_Flac.html,"4,5","Coastal Road Wolmar, Flic En Flac, Île Maurice",298343316735
110,Hotel Swalibo,https://www.tripadvisor.fr/Hotel_Review-g1191830-d653644-Reviews-Hotel_Swalibo-La_Saline_les_Bains_Arrondissement_of_Saint_Paul.html,"4,0","9 rue des salines, La Saline les Bains 97 434 Ile de La Réunion",1191830653644
111,Le Château de Beaulieu,https://www.tripadvisor.fr/Hotel_Review-g673651-d630263-Reviews-Le_Chateau_de_Beaulieu-Busnes_Pas_de_Calais_Hauts_de_France.html,"4,5","1098 rue de Lillers, 62350 Busnes France",673651630263
112,Hôtel Villa Glanum & SPA,https://www.tripadvisor.fr/Hotel_Review-g187256-d602536-Reviews-Hotel_Villa_Glanum_SPA-Saint_Remy_de_Provence_Bouches_du_Rhone_Provence_Alpes_Cote_d_Az.html,"4,0","46 avenue Vincent van Gogh, 13210 Saint-Rémy-de-Provence France",187256602536
113,Hôtel Maxim Folies,https://www.tripadvisor.fr/Hotel_Review-g187147-d1732208-Reviews-Hotel_Maxim_Folies-Paris_Ile_de_France.html,"4,5","14 Rue Geoffroy Marie, 75009 Paris France",1871471732208
